"id","date","yearday","serialday"
51,2008-04-21,110,42846
52,2008-04-21,110,42846
52,2008-04-29,118,42854
52,2015-04-22,111,42847
53,2008-04-28,117,42853
55,2008-04-28,117,42853
55,2011-04-20,109,42845
55,2011-04-24,113,42849
55,2011-04-26,115,42851
55,2013-04-15,104,42840
57,2008-04-28,117,42853
57,2015-04-23,112,42848
58,2008-04-29,118,42854
59,2008-04-29,118,42854
60,2008-04-29,118,42854
60,2011-03-19,77,42813
61,2008-04-29,118,42854
62,2008-05-04,123,42859
63,2008-05-05,124,42860
64,2008-05-05,124,42860
65,2008-05-08,127,42863
67,2008-05-08,127,42863
68,2008-04-11,100,42836
100,2009-01-29,28,42764
101,2009-01-29,28,42764
103,2008-03-27,85,42821
103,2010-03-21,79,42815
104,2008-03-27,85,42821
104,2010-03-21,79,42815
104,2012-03-13,71,42807
104,2013-03-13,71,42807
105,2008-05-05,124,42860
107,2008-04-12,101,42837
108,2008-04-12,101,42837
109,2008-04-12,101,42837
110,2008-04-12,101,42837
110,2013-04-18,107,42843
111,2008-04-12,101,42837
115,2008-04-12,101,42837
116,2008-04-11,100,42836
117,2008-04-11,100,42836
119,2008-03-29,87,42823
122,2008-03-27,85,42821
123,2008-04-23,112,42848
124,2008-03-27,85,42821
140,2009-03-07,65,42801
141,2009-03-12,70,42806
141,2013-03-18,76,42812
141,2013-03-19,77,42813
141,2017-03-25,83,42819
142,2009-03-12,70,42806
142,2015-03-11,69,42805
142,2015-03-12,70,42806
142,2016-03-10,68,42804
143,2009-03-12,70,42806
144,2009-03-12,70,42806
144,2016-03-13,71,42807
144,2016-04-13,102,42838
144,2016-04-14,103,42839
144,2017-04-09,98,42834
144,2017-04-09,98,42834
145,2009-03-12,70,42806
145,2015-03-10,68,42804
146,2009-03-12,70,42806
147,2009-03-12,70,42806
148,2009-03-15,73,42809
148,2015-03-20,78,42814
149,2009-03-15,73,42809
150,2009-03-19,77,42813
151,2009-03-29,87,42823
152,2009-03-29,87,42823
152,2013-04-04,93,42829
153,2009-03-29,87,42823
153,2013-03-24,82,42818
154,2009-03-29,87,42823
155,2009-03-29,87,42823
156,2009-03-12,70,42806
157,2009-04-02,91,42827
158,2007-04-13,102,42838
158,2009-04-02,91,42827
159,2009-04-02,91,42827
160,2009-04-02,91,42827
160,2010-04-07,96,42832
161,2009-04-02,91,42827
162,2009-04-02,91,42827
162,2013-04-03,92,42828
162,2015-04-03,92,42828
163,2009-04-02,91,42827
164,2009-04-02,91,42827
165,2009-04-02,91,42827
166,2009-04-02,91,42827
166,2009-04-05,94,42830
169,2009-04-02,91,42827
170,2009-04-02,91,42827
171,2009-04-02,91,42827
172,2009-04-02,91,42827
173,2009-04-02,91,42827
173,2010-03-21,79,42815
174,2009-04-02,91,42827
174,2013-04-30,119,42855
174,2017-04-16,105,42841
175,2009-04-05,94,42830
176,2009-04-05,94,42830
179,2009-04-05,94,42830
179,2014-04-02,91,42827
179,2014-04-12,101,42837
180,2009-04-05,94,42830
180,2016-04-14,103,42839
181,2009-04-05,94,42830
181,2009-04-06,95,42831
181,2013-04-12,101,42837
182,2009-04-05,94,42830
183,2009-04-05,94,42830
185,2009-04-05,94,42830
189,2009-04-05,94,42830
189,2015-04-08,97,42833
190,2009-04-05,94,42830
191,2009-04-05,94,42830
191,2012-04-15,104,42840
191,2015-04-09,98,42834
192,2009-04-06,95,42831
194,2009-04-06,95,42831
196,2009-04-06,95,42831
197,2009-04-06,95,42831
198,2009-04-06,95,42831
199,2009-04-05,94,42830
199,2009-04-06,95,42831
200,2009-04-06,95,42831
201,2009-04-06,95,42831
202,2009-04-06,95,42831
204,2009-04-06,95,42831
205,2009-04-05,94,42830
218,2009-04-06,95,42831
219,2009-04-07,96,42832
219,2009-04-11,100,42836
219,2010-04-07,96,42832
219,2010-04-08,97,42833
219,2010-04-09,98,42834
219,2013-04-11,100,42836
220,2009-04-11,100,42836
220,2013-03-31,89,42825
221,2009-04-11,100,42836
222,2009-04-11,100,42836
223,2005-05-05,124,42860
223,2007-04-24,113,42849
223,2009-04-11,100,42836
223,2012-04-28,117,42853
223,2013-04-12,101,42837
223,2015-04-11,100,42836
224,2009-04-11,100,42836
224,2013-04-15,104,42840
225,2009-04-11,100,42836
226,2009-04-11,100,42836
226,2011-04-13,102,42838
226,2015-04-08,97,42833
227,2009-04-11,100,42836
228,2009-04-11,100,42836
229,2009-04-11,100,42836
231,2009-04-14,103,42839
232,2009-04-14,103,42839
233,2009-04-14,103,42839
234,2009-04-14,103,42839
234,2014-04-07,96,42832
235,2009-04-14,103,42839
236,2009-04-14,103,42839
237,2009-04-14,103,42839
237,2011-04-14,103,42839
237,2011-04-17,106,42842
238,2009-04-14,103,42839
239,2009-04-14,103,42839
239,2009-04-19,108,42844
239,2009-04-30,119,42855
239,2012-04-16,105,42841
239,2013-04-30,119,42855
239,2014-04-19,108,42844
239,2015-04-08,97,42833
239,2015-04-09,98,42834
239,2015-04-10,99,42835
242,2009-04-14,103,42839
244,2009-04-14,103,42839
244,2011-03-26,84,42820
244,2012-03-15,73,42809
244,2013-04-10,99,42835
245,2009-04-14,103,42839
246,2009-04-14,103,42839
248,2009-04-14,103,42839
249,2008-04-09,98,42834
251,2009-04-19,108,42844
252,2009-04-19,108,42844
252,2009-04-20,109,42845
254,2009-04-19,108,42844
255,2009-04-19,108,42844
255,2009-04-20,109,42845
256,2009-04-19,108,42844
257,2009-04-19,108,42844
257,2009-04-20,109,42845
257,2017-04-04,93,42829
259,2009-04-19,108,42844
259,2009-04-20,109,42845
261,2009-04-19,108,42844
261,2011-04-15,104,42840
262,2009-04-19,108,42844
262,2009-04-20,109,42845
263,2009-04-19,108,42844
263,2009-04-20,109,42845
264,2009-04-19,108,42844
266,2009-04-19,108,42844
266,2009-04-20,109,42845
266,2012-04-15,104,42840
267,2009-04-19,108,42844
267,2009-04-20,109,42845
268,2009-04-19,108,42844
268,2009-04-20,109,42845
270,2009-04-19,108,42844
270,2010-05-06,125,42861
271,2009-04-19,108,42844
273,2009-04-19,108,42844
273,2010-04-06,95,42831
274,2009-04-19,108,42844
275,2009-04-19,108,42844
276,2009-04-19,108,42844
277,2009-04-19,108,42844
277,2009-04-20,109,42845
277,2010-04-10,99,42835
279,2009-04-20,109,42845
280,2009-04-20,109,42845
281,2009-04-20,109,42845
281,2012-04-15,104,42840
282,2009-04-20,109,42845
284,2009-04-20,109,42845
284,2013-04-20,109,42845
285,2009-04-24,113,42849
286,2009-04-24,113,42849
286,2009-04-25,114,42850
286,2013-04-25,114,42850
286,2013-04-30,119,42855
286,2013-05-01,120,42856
287,2009-04-24,113,42849
288,2009-04-24,113,42849
289,2009-04-24,113,42849
290,2009-04-21,110,42846
290,2009-04-22,111,42847
290,2009-04-25,114,42850
290,2013-04-19,108,42844
290,2013-04-21,110,42846
290,2013-04-22,111,42847
291,2009-04-25,114,42850
292,2009-04-26,115,42851
292,2011-04-21,110,42846
293,2009-04-07,96,42832
294,2009-04-07,96,42832
295,2009-04-07,96,42832
296,2009-04-07,96,42832
298,2009-04-27,116,42852
299,2009-04-21,110,42846
299,2009-04-27,116,42852
299,2013-04-21,110,42846
299,2013-04-22,111,42847
301,2009-04-27,116,42852
301,2009-04-30,119,42855
301,2010-05-03,122,42858
301,2015-04-08,97,42833
302,2009-04-19,108,42844
302,2009-04-29,118,42854
302,2010-04-06,95,42831
303,2009-04-29,118,42854
303,2009-04-30,119,42855
305,2009-04-29,118,42854
305,2009-04-30,119,42855
305,2009-05-01,120,42856
305,2012-04-26,115,42851
305,2013-04-30,119,42855
305,2013-05-04,123,42859
305,2013-05-05,124,42860
306,2009-04-29,118,42854
308,2009-04-29,118,42854
308,2009-04-30,119,42855
308,2011-04-15,104,42840
308,2013-04-21,110,42846
308,2014-04-21,110,42846
312,2009-04-30,119,42855
313,2009-04-26,115,42851
315,2009-04-29,118,42854
318,NA,334,42704
319,NA,334,42704
319,2012-04-15,104,42840
319,2012-04-16,105,42841
322,2009-04-25,114,42850
324,2009-04-25,114,42850
327,2010-03-18,76,42812
328,2010-03-18,76,42812
328,2012-03-19,77,42813
329,2010-03-18,76,42812
329,2012-03-16,74,42810
330,2010-03-21,79,42815
331,2010-03-21,79,42815
332,2010-03-21,79,42815
333,2010-03-21,79,42815
334,2010-03-21,79,42815
334,2011-03-27,85,42821
335,2010-03-21,79,42815
336,2010-03-21,79,42815
336,2012-03-17,75,42811
336,2013-03-13,71,42807
336,2014-03-16,74,42810
336,2015-03-09,67,42803
336,2015-03-10,68,42804
337,2010-03-21,79,42815
338,2010-03-21,79,42815
339,2010-04-06,95,42831
340,2010-03-21,79,42815
341,2010-03-21,79,42815
342,2010-03-21,79,42815
343,2010-03-21,79,42815
344,2010-03-21,79,42815
344,2012-03-17,75,42811
345,2010-03-21,79,42815
346,2010-03-21,79,42815
346,2014-03-20,78,42814
348,2010-03-21,79,42815
349,2010-03-21,79,42815
350,2010-03-21,79,42815
351,2010-03-21,79,42815
352,2010-03-21,79,42815
352,2017-03-18,76,42812
353,2010-03-21,79,42815
354,2010-03-21,79,42815
356,2010-04-05,94,42830
356,2010-04-07,96,42832
357,2010-04-05,94,42830
357,2010-04-07,96,42832
358,2010-04-05,94,42830
359,2010-04-05,94,42830
359,2013-03-13,71,42807
359,2016-03-24,82,42818
359,2017-03-25,83,42819
361,2010-04-05,94,42830
361,2012-04-15,104,42840
363,2010-04-05,94,42830
364,2010-04-05,94,42830
364,2012-04-15,104,42840
364,2014-04-07,96,42832
364,2017-03-26,84,42820
365,2010-04-06,95,42831
365,2010-04-07,96,42832
365,2013-04-07,96,42832
365,2013-04-10,99,42835
366,2010-04-06,95,42831
366,2016-04-14,103,42839
367,2010-04-06,95,42831
367,2013-04-08,97,42833
368,2010-04-06,95,42831
369,2010-04-06,95,42831
369,2010-04-08,97,42833
370,2010-04-06,95,42831
371,2010-04-06,95,42831
371,2014-04-12,101,42837
371,2016-04-04,93,42829
374,2010-04-06,95,42831
378,2010-04-19,108,42844
378,2012-04-21,110,42846
378,2013-04-18,107,42843
378,2013-04-21,110,42846
379,2010-04-06,95,42831
380,2010-04-05,94,42830
380,2010-04-06,95,42831
380,2014-04-11,100,42836
382,2010-04-06,95,42831
384,2010-04-07,96,42832
385,2010-04-07,96,42832
385,2010-04-08,97,42833
386,2010-04-07,96,42832
388,2010-04-07,96,42832
389,2010-04-07,96,42832
390,2010-04-07,96,42832
392,2010-04-07,96,42832
393,2010-04-07,96,42832
394,2010-04-07,96,42832
395,2010-04-07,96,42832
396,2010-04-07,96,42832
397,2010-04-08,97,42833
397,2015-03-20,78,42814
398,2010-04-08,97,42833
399,2010-04-08,97,42833
400,2010-04-08,97,42833
401,2010-04-08,97,42833
402,2010-04-08,97,42833
402,2012-04-15,104,42840
402,2012-04-19,108,42844
402,2013-04-08,97,42833
402,2013-04-09,98,42834
402,2016-04-04,93,42829
403,2010-04-08,97,42833
404,2010-04-08,97,42833
405,2010-04-08,97,42833
406,2010-04-08,97,42833
407,2010-04-09,98,42834
408,2010-04-09,98,42834
409,2010-04-09,98,42834
410,2010-04-09,98,42834
411,2010-04-09,98,42834
412,2010-04-10,99,42835
412,2013-04-08,97,42833
414,2010-04-12,101,42837
415,2010-04-12,101,42837
415,2011-04-15,104,42840
415,2012-04-21,110,42846
415,2015-04-10,99,42835
415,2016-04-14,103,42839
416,2010-04-12,101,42837
417,2010-04-12,101,42837
417,2013-04-21,110,42846
418,2010-04-12,101,42837
418,2010-04-13,102,42838
419,2010-04-12,101,42837
420,2010-04-12,101,42837
421,2010-04-12,101,42837
421,2016-04-13,102,42838
421,2016-04-14,103,42839
422,2010-04-12,101,42837
424,2010-04-13,102,42838
425,2010-04-12,101,42837
426,2008-04-20,109,42845
426,2010-04-12,101,42837
426,2010-04-13,102,42838
426,2011-04-17,106,42842
427,2010-04-12,101,42837
428,2010-04-21,110,42846
429,2010-04-21,110,42846
430,2010-04-21,110,42846
431,2010-04-22,111,42847
434,2010-04-22,111,42847
435,2010-05-02,121,42857
436,2010-05-03,122,42858
437,2010-05-06,125,42861
438,2010-05-07,126,42862
439,2010-05-07,126,42862
440,2010-05-14,133,42869
441,2010-05-14,133,42869
441,2016-04-23,112,42848
442,2010-05-14,133,42869
444,2010-03-18,76,42812
445,2006-03-12,70,42806
446,2006-04-01,90,42826
447,2006-04-02,91,42827
448,2006-04-15,104,42840
448,2011-03-28,86,42822
448,2012-05-02,121,42857
448,2015-03-22,80,42816
449,2006-04-15,104,42840
450,2007-04-24,113,42849
450,2011-04-15,104,42840
450,2013-04-19,108,42844
450,2014-04-11,100,42836
451,2007-04-27,116,42852
452,2008-04-20,109,42845
454,2008-04-29,118,42854
455,2008-04-29,118,42854
456,2006-04-01,90,42826
457,2011-01-22,21,42757
458,2010-04-21,110,42846
489,2011-03-19,77,42813
489,2017-03-08,66,42802
492,2011-03-19,77,42813
493,2011-03-19,77,42813
494,2011-03-19,77,42813
496,2011-03-19,77,42813
498,2011-03-14,72,42808
498,2012-03-17,75,42811
499,2011-03-14,72,42808
500,2011-03-13,71,42807
501,2011-03-14,72,42808
502,2011-03-14,72,42808
502,2011-03-19,77,42813
503,2011-03-14,72,42808
504,2011-03-14,72,42808
504,2011-03-15,73,42809
505,2011-03-14,72,42808
506,2011-03-14,72,42808
506,2015-03-20,78,42814
507,2011-03-15,73,42809
508,2011-03-15,73,42809
509,2011-03-15,73,42809
510,2011-03-15,73,42809
511,2011-03-15,73,42809
512,2011-03-15,73,42809
512,2011-03-19,77,42813
513,2011-03-15,73,42809
514,2011-03-15,73,42809
514,2012-03-17,75,42811
514,2012-03-22,80,42816
514,2017-03-12,70,42806
515,2011-03-15,73,42809
516,2011-03-15,73,42809
517,2011-03-14,72,42808
520,2011-03-16,74,42810
521,2011-03-15,73,42809
525,2011-03-15,73,42809
526,2011-03-15,73,42809
527,2011-03-19,77,42813
528,2011-03-19,77,42813
530,2011-03-26,84,42820
530,2015-03-09,67,42803
531,2011-03-26,84,42820
531,2017-01-14,13,42749
532,2011-03-26,84,42820
534,2011-03-26,84,42820
535,2011-03-26,84,42820
535,2011-03-27,85,42821
536,2011-03-26,84,42820
537,2011-03-26,84,42820
538,2011-03-26,84,42820
539,2011-03-26,84,42820
540,2011-03-26,84,42820
540,2011-03-27,85,42821
546,2011-03-28,86,42822
546,2011-03-30,88,42824
546,2012-03-19,77,42813
546,2012-03-21,79,42815
547,2011-03-28,86,42822
547,2011-03-30,88,42824
548,2011-03-30,88,42824
549,2011-03-30,88,42824
552,2011-03-30,88,42824
553,2011-03-30,88,42824
554,2011-03-30,88,42824
555,2011-03-30,88,42824
556,2011-03-30,88,42824
557,2011-03-30,88,42824
558,2011-03-30,88,42824
559,2011-03-30,88,42824
561,2011-03-30,88,42824
563,2011-03-30,88,42824
563,2011-04-04,93,42829
564,2009-04-19,108,42844
564,2011-03-30,88,42824
564,2013-04-04,93,42829
565,2011-04-04,93,42829
567,2011-04-04,93,42829
567,2011-04-07,96,42832
569,2011-04-04,93,42829
570,2011-04-04,93,42829
570,2015-04-03,92,42828
571,2011-04-07,96,42832
572,2011-04-07,96,42832
573,2011-04-07,96,42832
575,2011-04-07,96,42832
576,2011-04-07,96,42832
577,2011-04-07,96,42832
578,2011-04-07,96,42832
579,2011-04-07,96,42832
580,2011-04-07,96,42832
581,2011-04-08,97,42833
582,2011-03-08,66,42802
582,2011-04-08,97,42833
583,2011-03-26,84,42820
584,2011-04-04,93,42829
586,2011-04-13,102,42838
587,2011-04-13,102,42838
588,2011-04-13,102,42838
589,2011-04-13,102,42838
589,2011-04-15,104,42840
589,2011-04-20,109,42845
589,2013-04-15,104,42840
589,2016-04-14,103,42839
590,2011-04-13,102,42838
590,2013-04-13,102,42838
590,2014-04-11,100,42836
590,2014-04-12,101,42837
591,2011-04-13,102,42838
594,2011-04-13,102,42838
595,2011-04-13,102,42838
596,2011-04-13,102,42838
597,2011-04-15,104,42840
597,2014-04-19,108,42844
598,2011-04-15,104,42840
600,2011-04-15,104,42840
603,2011-04-15,104,42840
605,2011-04-15,104,42840
607,2011-04-15,104,42840
607,2011-04-17,106,42842
610,2011-04-15,104,42840
610,2011-04-18,107,42843
615,2011-04-15,104,42840
615,2015-03-23,81,42817
620,2011-04-17,106,42842
621,2011-04-17,106,42842
622,2011-04-17,106,42842
623,2011-04-17,106,42842
627,2011-04-17,106,42842
629,2011-04-17,106,42842
633,2011-04-17,106,42842
636,2011-04-18,107,42843
638,2011-04-18,107,42843
639,2011-04-18,107,42843
639,2016-04-27,116,42852
640,2011-04-18,107,42843
641,2011-04-18,107,42843
642,2011-04-18,107,42843
643,2011-04-18,107,42843
645,2011-04-20,109,42845
645,2012-04-14,103,42839
648,2011-04-20,109,42845
650,2011-04-20,109,42845
651,2011-04-19,108,42844
651,2011-04-20,109,42845
651,2011-04-21,110,42846
651,2011-04-24,113,42849
651,2013-04-19,108,42844
651,2013-04-21,110,42846
651,2016-04-27,116,42852
651,2016-04-29,118,42854
651,2016-04-30,119,42855
651,2016-05-02,121,42857
652,2011-04-20,109,42845
652,2017-04-09,98,42834
653,2011-04-20,109,42845
653,2014-04-19,108,42844
654,2011-04-26,115,42851
655,2011-04-26,115,42851
655,2013-04-10,99,42835
655,2017-03-25,83,42819
657,2011-04-26,115,42851
659,2011-04-24,113,42849
662,2011-04-20,109,42845
663,2011-05-05,124,42860
664,2011-05-05,124,42860
665,2011-05-05,124,42860
665,2012-04-19,108,42844
665,2016-02-23,53,42789
666,2009-04-05,94,42830
667,2010-04-13,102,42838
689,2006-04-13,102,42838
690,2012-01-09,8,42744
691,2010-04-12,101,42837
692,2011-03-15,73,42809
693,2012-01-21,20,42756
700,2012-01-21,20,42756
700,2012-01-23,22,42758
701,2012-01-21,20,42756
703,2012-01-23,22,42758
704,2012-01-20,19,42755
705,2012-02-01,31,42767
706,2012-02-01,31,42767
707,2012-02-29,59,42795
708,2012-02-29,59,42795
709,2012-02-29,59,42795
710,2012-02-29,59,42795
711,2012-02-29,59,42795
713,2012-02-29,59,42795
714,2012-02-29,59,42795
715,2012-02-29,59,42795
717,2012-02-29,59,42795
718,2012-02-29,59,42795
719,2012-02-29,59,42795
720,2012-03-13,71,42807
721,2012-03-13,71,42807
721,2012-03-14,72,42808
722,2012-03-13,71,42807
723,2012-03-13,71,42807
723,2012-03-15,73,42809
724,2012-03-13,71,42807
728,2012-03-14,72,42808
728,2012-03-15,73,42809
728,2012-03-19,77,42813
728,2016-08-16,227,42963
730,2012-03-14,72,42808
731,2012-03-14,72,42808
732,2012-03-14,72,42808
732,2012-03-16,74,42810
734,2012-03-14,72,42808
735,2012-03-14,72,42808
735,2012-03-15,73,42809
735,2017-03-18,76,42812
736,2012-03-14,72,42808
736,2012-03-15,73,42809
736,2013-03-13,71,42807
736,2015-03-10,68,42804
737,2012-03-14,72,42808
738,2012-03-14,72,42808
741,2012-03-14,72,42808
742,2012-03-14,72,42808
743,2012-03-14,72,42808
744,2012-03-14,72,42808
745,2012-03-14,72,42808
746,2012-03-14,72,42808
747,2012-03-14,72,42808
748,2012-03-14,72,42808
749,2012-03-14,72,42808
749,2012-03-21,79,42815
749,2014-03-16,74,42810
749,2014-05-16,135,42871
750,2012-03-15,73,42809
751,2012-03-15,73,42809
752,2012-03-15,73,42809
752,2012-03-16,74,42810
754,2012-03-15,73,42809
758,2012-03-15,73,42809
758,2012-03-17,75,42811
758,2012-03-22,80,42816
758,2017-03-18,76,42812
759,2012-03-15,73,42809
761,2012-03-15,73,42809
765,2012-03-16,74,42810
767,2012-03-15,73,42809
767,2012-03-16,74,42810
767,2012-03-19,77,42813
767,2014-03-16,74,42810
768,2012-03-16,74,42810
772,2012-03-16,74,42810
773,2012-03-16,74,42810
774,2012-03-16,74,42810
778,2012-03-16,74,42810
781,2012-03-16,74,42810
781,2012-03-17,75,42811
783,2012-03-17,75,42811
784,2012-03-17,75,42811
784,2012-03-21,79,42815
785,2012-03-17,75,42811
786,2012-03-17,75,42811
787,2012-03-17,75,42811
789,2012-03-17,75,42811
790,2012-03-15,73,42809
790,2012-03-17,75,42811
791,2012-03-15,73,42809
791,2012-03-17,75,42811
792,2012-03-17,75,42811
793,2012-03-17,75,42811
795,2012-03-17,75,42811
796,2012-03-17,75,42811
797,2012-03-18,76,42812
798,2012-03-18,76,42812
800,2012-03-18,76,42812
801,2012-03-18,76,42812
803,2012-03-18,76,42812
806,2012-03-18,76,42812
807,2012-03-18,76,42812
809,2012-03-18,76,42812
810,2012-03-19,77,42813
811,2012-03-19,77,42813
812,2012-03-19,77,42813
813,2012-03-19,77,42813
814,2012-03-19,77,42813
815,2012-03-19,77,42813
818,2012-03-19,77,42813
819,2012-03-19,77,42813
820,2012-03-19,77,42813
820,2013-04-08,97,42833
821,2012-03-19,77,42813
825,2012-03-19,77,42813
826,2012-03-19,77,42813
827,2012-03-19,77,42813
829,2012-03-21,79,42815
830,2012-03-21,79,42815
831,2012-03-21,79,42815
832,2012-03-21,79,42815
833,2012-03-21,79,42815
835,2012-03-21,79,42815
835,2013-04-03,92,42828
836,2012-03-21,79,42815
837,2012-03-21,79,42815
839,2012-03-21,79,42815
840,2012-03-21,79,42815
842,2012-03-21,79,42815
843,2012-03-21,79,42815
843,2015-03-23,81,42817
843,2017-03-08,66,42802
845,2012-03-21,79,42815
846,2012-03-21,79,42815
846,2013-03-24,82,42818
847,2012-03-24,82,42818
848,2012-03-23,81,42817
848,2012-03-24,82,42818
848,2012-03-25,83,42819
849,2012-03-24,82,42818
851,2012-03-24,82,42818
852,2012-03-21,79,42815
852,2016-08-14,225,42961
855,2012-03-25,83,42819
856,2012-03-25,83,42819
856,2013-04-09,98,42834
857,2012-03-25,83,42819
858,2012-03-16,74,42810
859,2012-04-09,98,42834
860,2012-04-09,98,42834
860,2012-04-11,100,42836
860,2012-04-15,104,42840
861,2012-04-09,98,42834
862,2012-04-09,98,42834
863,2012-04-09,98,42834
863,2014-05-09,128,42864
863,2015-04-09,98,42834
864,2012-04-09,98,42834
865,2012-04-09,98,42834
866,2012-04-09,98,42834
867,2012-04-09,98,42834
868,2012-04-09,98,42834
869,2012-04-09,98,42834
870,2012-04-09,98,42834
872,2012-04-09,98,42834
874,2012-04-11,100,42836
876,2012-03-17,75,42811
877,2012-04-14,103,42839
877,2015-04-08,97,42833
879,2012-04-15,104,42840
880,2012-04-15,104,42840
881,2012-04-15,104,42840
882,2012-04-15,104,42840
883,2012-04-15,104,42840
884,2012-04-15,104,42840
885,2012-04-15,104,42840
885,2017-03-26,84,42820
886,2012-04-15,104,42840
887,2012-04-15,104,42840
889,2012-04-15,104,42840
889,2013-04-09,98,42834
889,2013-04-10,99,42835
889,2015-03-23,81,42817
889,2015-04-15,104,42840
890,2012-04-15,104,42840
890,2015-04-10,99,42835
891,2012-04-15,104,42840
892,2012-04-15,104,42840
893,2012-04-15,104,42840
893,2013-04-19,108,42844
896,2012-04-15,104,42840
896,2012-04-16,105,42841
896,2013-04-21,110,42846
897,2012-04-15,104,42840
898,2012-04-12,101,42837
898,2012-04-15,104,42840
899,2012-04-15,104,42840
899,2013-04-09,98,42834
899,2015-03-23,81,42817
901,2012-04-15,104,42840
902,2012-04-15,104,42840
903,2012-04-15,104,42840
905,2012-04-16,105,42841
907,2012-04-16,105,42841
908,2012-04-16,105,42841
910,2012-04-18,107,42843
910,2016-04-29,118,42854
911,2012-04-18,107,42843
912,2012-04-18,107,42843
913,2012-04-18,107,42843
914,2012-04-18,107,42843
917,2012-03-12,70,42806
917,2012-03-23,81,42817
920,2012-04-16,105,42841
921,2012-04-16,105,42841
923,2012-04-19,108,42844
924,2012-04-19,108,42844
924,2012-04-20,109,42845
924,2017-04-16,105,42841
924,2017-04-22,111,42847
925,2012-04-18,107,42843
925,2012-04-19,108,42844
925,2012-04-20,109,42845
925,2013-04-15,104,42840
925,2013-04-18,107,42843
925,2013-04-19,108,42844
929,2012-04-19,108,42844
931,2012-04-20,109,42845
932,2012-04-20,109,42845
932,2012-04-21,110,42846
933,2012-04-20,109,42845
934,2012-04-20,109,42845
938,2012-04-21,110,42846
940,2012-04-21,110,42846
941,2012-04-21,110,42846
942,2012-04-21,110,42846
945,2012-04-22,111,42847
946,2012-04-19,108,42844
947,2012-04-23,112,42848
948,2012-04-21,110,42846
950,2012-04-21,110,42846
951,2012-04-22,111,42847
952,2012-04-26,115,42851
952,2013-04-21,110,42846
955,2012-04-21,110,42846
956,2012-05-02,121,42857
957,2012-03-19,77,42813
1001,2013-01-09,8,42744
1002,2013-01-14,13,42749
1003,2013-01-15,14,42750
1004,2013-01-15,14,42750
1005,2013-01-15,14,42750
1006,2013-01-16,15,42751
1007,2013-01-16,15,42751
1008,2013-01-16,15,42751
1009,2013-01-15,14,42750
1010,2013-02-26,56,42792
1011,2013-02-26,56,42792
1012,2013-03-13,71,42807
1015,2013-03-13,71,42807
1016,2013-03-13,71,42807
1017,2013-03-13,71,42807
1018,2013-03-13,71,42807
1022,2013-03-14,72,42808
1023,2013-03-18,76,42812
1024,2013-03-18,76,42812
1025,2013-03-18,76,42812
1026,2013-03-18,76,42812
1027,2013-03-24,82,42818
1028,2013-03-24,82,42818
1029,2013-03-24,82,42818
